Newspaper,Title,Link,Article Content
O Globo,Vendedora apontada como affair de Belo fala sobre relação com cantor e avisa: 'Não tenho intenção de ser famosa',{'https://oglobo.globo.com/ela/noticia/2024/09/12/vendedora-apontada-como-affair-de-belo-fala-sobre-relacao-com-cantor-e-avisa-nao-tenho-intencao-de-ser-famosa.ghtml'}," Adriana Costa, apontada como novo affair de Belo, quebrou o silêncio e falou sobre a relação com o cantor. As especulações de romance começaram em julho deste ano, quando a vendedora foi flagrada de mãos dadas com o ex-marido de Gracyanne Barbosa em um shopping de luxo na Zona Oeste do Rio de Janeiro.   Casada e mãe de dois filhos, Adriana negou qualquer tipo de envolvimento com o artista. ""O Belo é meu amigo e cliente, assim como toda a equipe dele e família também, pois todos me conhecem. Eu sou casada. Isso foi tudo uma bobeira que a mídia vendeu"", declarou ao ""BNews"". Adriana contou também como lidou com a repercussão dos rumores do suposto romance com o músico. ""Inicialmente foi um susto, pois o Belo foi brincar com paparazzi me dando a mão na foto e isso foi vendido de uma maneira maldosa. Tento não dar importância, pois não tenho intenção de ser famosa, apenas lido com esse público que são meus clientes e amigos, mas eu prefiro me manter no anonimato"", afirmou. Questionada sobre como o marido recebeu a notícia, Adriana relatou que existiu um desconforto: ""Ficou chateado como qualquer outro marido ficaria em ver sua esposa sendo apontada como namorada de um cliente. Mas, ele sabe que eu e Belo somos muito amigos, assim como sou do Alfredo também [empresário do músico], da Gracyanne e toda equipe"", concluiu."
O Globo,Amil quer investigar tentativa frustrada de venda da carteira individual para empresa polêmica,{'https://oglobo.globo.com/blogs/lauro-jardim/post/2024/09/amil-quer-investigar-tentativa-frustrada-de-venda-da-carteira-individual-para-empresa-polemica.ghtml'}," A Amil, que está sob nova gestão desde fevereiro deste ano, decidiu abrir uma auditoria para apurar todas as circunstâncias que entre o final de 2021 e início de 2022 envolveram a tentativa frustrada de venda da sua carteira de planos individuais. A decisão é a de investigar a fundo esse processo. Em abril de 2022, a ANS anulou a decisão que autorizou a transferência de carteira da Amil para a desconhecida e polêmica APS. Determinou que ela devolvesse à Amil a carteira recebida."
O Globo,"Ex-Internacional, Hugo Mallo é considerado culpado em caso de abuso sexual",{'https://oglobo.globo.com/esportes/futebol-internacional/noticia/2024/09/12/ex-internacional-hugo-mallo-e-considerado-culpado-em-caso-de-abuso-sexual.ghtml'}," O jogador espanhol Hugo Mallo, que recentemente passou pelo Internacional, foi considerado culpado de abuso sexual em um caso de quando ainda atuava no Celta de Vigo. Em 2019, o lateral apalpou uma mulher que trabalhava como mascote de uma equipe rival, e agora foi condenado ao pagamento de multa, informou, nesta quinta-feira, a justiça espanhola. Mallo, de 33 anos, que atualmente joga no clube Aris de Salônica, de Grécia, foi declarado “autor de um crime de abuso sexual”, afirma a sentença de um tribunal de Barcelona, divulgado nesta quinta-feira. Consequentemente, o defensor foi condenado a pagar uma multa de 10 euros por dia durante 20 meses e a indenizar a vítima com mil euros (R$ 6,25 mil, na cotação atual) por danos morais. O episódio em questão se deu antes do duelo entre o Espanyol e o Celta, em 24 de abril de 2019, no Estádio de Cornellà-El Prat, na Catalunha, durante a entrada dos jogadores. Como capitão do time visitante, Mallo puxou a fila e cumprimentou os atletas rivais e os mascotes do time da casa. O Espanyol conta com dois periquitos como mascote. Conforme a denúncia, o lateral cumprimentou normalmente o mascote masculino e mudou de postura diante da feminina. Segundo a sentença, Mallo passou perto da mulher, colocou as mãos sob sua fantasia e tocou em seus seios. A vítima registrou a denúncia no dia seguinte ao ocorrido. Mallo foi intimado em 10 de julho de 2019. Perante o juiz, o espanhol negou ter cometido qualquer crime, afirmou ter cumprimentado normalmente tanto os jogadores quanto os mascotes, cujo gênero disse desconhecer e acrescentou que estava focado unicamente na partida. O caso havia sido arquivado provisoriamente, mas a defesa recorreu e o Tribunal Provincial de Barcelona ordenou a reabertura do caso em maio de 2021."
O Globo,Festival de vinhos do Uruguai será no dia 26 deste mês em Laranjeiras,{'https://oglobo.globo.com/blogs/saideira/post/2024/09/festival-de-vinhos-do-uruguai-sera-no-dia-26-deste-mes-em-laranjeiras.ghtml'}," Ama os vinhos do Uruguai ou quer conhecer mais rótulos desse país vizinho? Será no dia 26 deste mês a Feira Vinhos Uruguaios Rio de Janeiro, no Salão Nobre do Clube Fluminense, em Laranjeiras. O público poderá degustar espumantes, brancos, rosés e tintos, além de vermute, nos estandes de 21 produtores.   Estão confirmados no festival: Gimenez Mendez, Familia Traversa, Montes Toscanini, Cerro del Toro, Los Cerros de San Juan, Castillo Viejo, Favretto Dragone, Compañía Uruguaya de Viños de Mar, Brisas del Este, Viña Edén, Filgueira, El Capricho, Vinicola Aurora, Toscanini e hijos e Altos de La Ballena. O ingresso dará direito a provar os vinhos disponíveis e inclui uma taça de cristal. A feira será das 18h às 21h. A venda de ingressos é pelo Sympla, no link https://www.sympla.com.br/evento/vinhos-uruguaios-no-rio-de-janeiro/2604588 até o dia 26. O preço do ingresso é R$ 109 (+ R$ 8,18 taxa), e o pagamento pode ser em até 12x de R$ 12,12. O Clube Fluminense fica na Rua Álvaro Chaves 41, Laranjeiras.    "
O Globo,Passeio pela Amazônia: escola mirim da Caprichosos de Pilares define enredo e recebe sambas,{'https://oglobo.globo.com/rio/bairros/tijuca-e-zona-norte/noticia/2024/09/12/passeio-pela-amazonia-escola-mirim-da-caprichosos-de-pilares-define-enredo-e-recebe-sambas.ghtml'}," O povo Apurinã conta que os primeiros habitantes da Região Amazônica chegaram montados em uma grande cobra marrom, cujo rastro formou o imenso rio da região. Esse conto amazônico é a base do enredo “Amarú-Mayú: um inocente passeio amazônico na Sapucaí”, recentemente definido pela Inocentes de Caprichosos de Pilares. Com o enredo estabelecido, a escola mirim agora abre inscrições para interessados em criar o samba-enredo para o carnaval 2025.   O tema foi desenvolvido pela dupla Jefferson Rocha e Marcos Paulo e é resultado de uma parceria com a escola de samba Estácio de Sá. Rocha, presidente da Inocentes de Caprichosos desde 2009, reescreveu e aprofundou a pesquisa sobre a cobra marrom, integrando elementos do folclore amazônico, como danças e lendas, além de destacar a preservação da floresta amazônica e do mico-leão-dourado. Ele enfatiza que o enredo é uma oportunidade para o público vivenciar a rica cultura amazônica, unindo-a ao carnaval carioca. — O enredo leva o público a uma viagem pela Amazônia, com referências à fauna e à flora locais, incluindo o tucunaré, a aruanã e o candiru — conta Rocha, ressaltando a importância da preservação da riqueza cultural da região.   Ele destaca que a escola promete um desfile que celebra a cultura e as lendas da Amazônia: — Vamos unir as tradições amazônicas com o carnaval carioca e mostrar no Rio de Janeiro a riqueza cultural e ambiental da região. Criada em 1991, a Inocentes de Caprichosos foi o ponto de partida para muitos talentos do carnaval. Marcela Alves, hoje primeira porta-bandeira do Salgueiro, iniciou sua trajetória na escola mirim antes de passar para a Caprichosos de Pilares. Isabela Moura, segunda porta-bandeira da Mocidade Independente de Padre Miguel, também deu seus primeiros passos na Inocentes. Além disso, Thiago Brito, que já foi intérprete da Caprichosos de Pilares, da Unidos de Bangu e da Inocentes de Belford Roxo, integrou o carro de som da Unidos da Tijuca. Rocha orgulha-se da abordagem inclusiva da Inocentes. — Temos várias alas inclusivas, com crianças e adolescentes com necessidades especiais participando ativamente. Oferecemos liberdade de escolha para que possam se integrar à bateria, como passistas ou em alas comuns — explica Rocha. A escola conta com uma ala especial chamada “Somos todos especiais”, que inclui autistas, cadeirantes e jovens com síndrome de Down. — Nossa missão é formar cidadãos conscientes e capazes de entender e respeitar seu meio — frisa Rocha. As inscrições para o samba-enredo podem ser feitas na sede da Inocentes de Caprichosos ou por meio das redes sociais até o final de setembro. Os compositores devem submeter 15 cópias da letra e uma gravação do samba, sem identificar o autor. A escolha do vencedor será feita pelos diretores e integrantes da escola, que votam sem conhecer os compositores. O samba selecionado será gravado em estúdio em outubro. A Inocentes de Caprichosos desfilará na Sapucaí na sexta-feira, 7 de março de 2025, um dia antes do Desfile das Campeãs, sendo a segunda escola a se apresentar. O desfile oficial começará às 17h, com a escola convidada Paraíso do Tuiuti entrando às 16h30."
O Globo,Monumento do Pan é revitalizado pela primeira vez,{'https://oglobo.globo.com/blogs/ancelmo-gois/post/2024/09/monumento-do-pan-e-revitalizado-pela-primeira-vez.ghtml'}," Inaugurado em julho de 2007, o Monumento ao Pan foi revitalizado pela primeira vez. Com 15 metros de altura e pesando de cinco toneladas, a escultura estava com a pintura descascando e repleta de pichações. O monumento, criado numa homenagem aos Jogos Pan-Americanos de 2007, é de Kenji Fukuda. A obra, novinha em folha, pode ser vista por quem passa pela Avenida Abelardo Bueno, a caminho do Rock in Rio."
O Globo,Rock in Rio começa nesta sexta-feira (13): o que fazer para afastar azar e ‘abrir caminhos’ nos shows,{'https://oglobo.globo.com/cultura/noticia/2024/09/12/rock-in-rio-comeca-nesta-sexta-feira-13-o-que-fazer-para-afastar-azar-e-abrir-caminhos-nos-shows.ghtml'}," Quem está se preparando para curtir o primeiro dia de Rock in Rio, na Cidade do Rock, Zona Oeste do Rio de Janeiro, é bom redobrar a sua preparação. O começo do festival ocorre justamente em uma sexta-feira (13), uma data geralmente associada ao infortúnio por pessoas supersticiosas. Mas calma. Não é preciso ficar trêmulo, ranger os dentes ou roer as unhas. Algumas recomendações podem ser seguidas pelos devotos da música, que estarão no evento.   Apesar de a data ser relacionada à má sorte, a Mãe Michelly da Cigana, uma influencer que faz sucesso no Instagram e que se tornou uma das sensitivas mais requisitadas do país, afirma que basta “se cercar de energias positivas e bons pensamentos”. Práticas assim, por si só, “afastam qualquer negatividade do nosso dia a dia”. Para o Rock in Rio, entretanto, é bom contar com uma ajuda a mais. A mãe de santo recomenda assegurar a proteção com um banho de arruda. — Quem deseja estar protegido de todos os males e garantir essa proteção durante todo o evento, faça um banho de arruda com água, do pescoço para baixo — aconselha. — E vale também levar um galho de arruda no bolso ou na carteira para a proteção. Michelly ainda dá dicas para quem deseja “abrir os caminhos no meio da multidão” a fim de conseguir um bom lugar para assistir uma apresentação. Para este caso, ela aconselha “um bom banho de folhas de louro e água morna com canela em pó, do pescoço para baixo”. — Esse banho maravilhoso atrai sorte e abre caminhos para a felicidade — completa a mãe de santo. A sensitiva ainda recomenda um outro banho, mas direcionado a quem “quer arriscar encontrar um amor no festival”. Segundo ela, é preciso caprichar com um “banho de maçã, pitangueira, pétalas de rosas vermelhas, cravo-da-índia, água morna e perfume a gosto”."
O Globo,"Após estreia em novelas, Antonio Tabet debuta no teatro e prepara filme: 'Fiz 50 anos, mas, na minha cabeça, ainda tenho 27'",{'https://oglobo.globo.com/cultura/noticia/2024/09/12/apos-estreia-em-novelas-antonio-tabet-debuta-no-teatro-e-prepara-filme-fiz-50-anos-mas-na-minha-cabeca-ainda-tenho-27.ghtml'}," Uma paixão de adolescência levou Antonio Tabet aos tablados. Há mais ou menos três décadas, o então jovem estudante, à época com 18 anos, se matriculou num curso livre de artes cênicas, na Companhia de Teatro Contemporâneo, em Botafogo, na Zona Sul do Rio de Janeiro, porque queria se aproximar de uma aluna por quem era enamorado. O amor não vingou. Mas um flerte longevo com aquele ambiente artístico se manteve no ar — e demorou a se consumar. Depois de se notabilizar (“razoavelmente tarde, aos 37 anos”, como ele avalia) na pele de figuras cômicas em esquetes do Porta dos Fundos, grupo do qual é sócio-fundador, o ex-redator publicitário e roteirista de programas televisivos e humorísticos pisa profissionalmente nos palcos, pela primeira vez, nesta quinta-feira (12). É a confirmação de uma nova fase no relacionamento sério com o ofício. — Tinha muito medo dessa história de fazer teatro. Minha vida na atuação é recente — frisa. — As pessoas não estão acostumadas a me ver ali. Mas estou confiante.   A estreia, aos 50 anos, acontece em terreno confortável. Em “Protocolo de segurança” — monólogo que ganha sessões desta quinta (12) a sábado (14) no Teatro Casa Grande, no Leblon, e aporta em São Paulo, no Teatro Gazeta, nos dias 21, 22 e 28 —, o artista dá vida a Peçanha, um dos tipos mais populares nos vídeos do Porta dos Fundos. No espetáculo com dramaturgia assinada a seis mãos (em parceria de Tabet com Gabriel Esteves e Matheus MAD) e sob direção de Daniel Nascimento, o policial de jeitão bronco, com 20 anos de carreira nas costas, é contratado para expor as instruções de segurança num teatro, antes de uma montagem de “Hamlet” protagonizada pelo ator Mateus Solano. Até que... O artista se atrasa para a sessão, e o agente desata a falar da própria vida diante da plateia, da rotina no quartel a intimidades e preferências sexuais. — Peçanha é um homem machista, racista, sexista, homofóbico, preconceituoso, corrupto e que, ao mesmo tempo, odeia tudo isso, porque sabe que se trata de crime. Ele acaba sendo um espelho de muita gente por aí — afirma o ator, constantemente abordado nas ruas pelo nome do personagem. — Se passo por um carro de polícia, os caras batem continência. É uma doideira! Tenho uma amiga que fala que o Peçanha é a verdadeira frente única: ele é adorado pela esquerda, que o enxerga como uma crítica generalizada à hipocrisia dos brasileiros, e pela direita, que vê nele um exagero e uma caricatura.   O perfil controverso do “sargento-tenente-major”, como a figura ficcional é chamada, está colado à imagem do ator há mais de uma década. Pouco antes da criação do Porta dos Fundos, Tabet deu um jeito de tirar do papel o projeto “CSI Nova Iguaçu”, paródia bem-humorada da famosa série americana policial “CSI Nova York”. A ideia do carioca era só escrever os roteiros dos episódios, disponibilizados nos sites Kibeloco, criado por ele, e Anões em Chamas. Mas o diretor Ian SBF insistiu tanto para o colega interpretar um dos policiais da trama (“Você é a cara desses agentes”, justificou, naquele período), que ele acabou cedendo. Deu no que deu — além da peça, vem aí um segundo filme inspirado no personagem, e que ainda será rodado, em coprodução do Porta com a Fábrica. Tabet, porém, não quer se restringir a um só tipo. Após estrear em novelas — ele integrou o elenco de “Elas por elas” (2023) —, o ator busca papéis fora da comédia: — Estou na melhor forma da minha vida. Fiz 50 anos, mas, na minha cabeça, ainda tenho 27. Fisicamente, também. Ando inquieto, feliz, querendo fazer coisas novas. Óbvio que há ideias que não faço mais questão de realizar, né? Não quero nem tentar cantar música sertaneja! Mas, qualquer outra coisa, estou a fim de fazer. Acho que só vou parar no dia em que ganhar um Oscar — graceja o ator. — Não que eu ache que mereça um Oscar, tá? Mas é porque já tenho um Emmy Internacional na prateleira de casa (pelo “Especial de Natal Porta dos Fundos”, Melhor Comédia de 2019). E vai que um dia o Tarantino resolve chamar um brasileiro perdido para fazer um filme? Eu topo! É provável? Nem um pouco. Impossível? Jamais."
O Globo,Por onde sai o gol: raio-x mostra como o São Paulo pode reverter vantagem do Atlético-MG na Copa do Brasil,{'https://oglobo.globo.com/esportes/futebol-2024/noticia/2024/09/12/por-onde-sai-o-gol-raio-x-mostra-como-o-sao-paulo-pode-reverter-vantagem-do-atletico-mg-na-copa-do-brasil.ghtml'}," Depois de ter sido derrotado por 1 a 0 nos minutos finais do jogo de ida, no MorumBIS, o São Paulo terá uma tarefa complicada na noite desta quinta-feira. O Tricolor paulista vai até a Arena MRV para enfrentar o Atlético-MG e tem que vencer por dois gols de diferença para sair de Belo Horizonte com a classificação para a semifinal da Copa do Brasil. A bola rola às 21h30. No jogo de ida, o São Paulo - apesar de ter saído derrotado - não teve uma atuação ruim, mas acabou cedendo a vitória ao Atlético-MG nos minutos finais, com gol de cabeça de Battaglia. Com isso, o São Paulo precisa ir para o ataque em Belo Horizonte para conseguir os dois gols de diferença para se classificar - ou de uma vitória simples para levar a disputa da vaga para os pênaltis. O GLOBO analisou todos os gols sofridos pelo Atlético-MG - 54 em 48 jogos - em busca de um padrão para mostrar as vulnerabilidades do sistema defensivo do time mineiro que podem servir como o caminho das pedras para o time de Zubeldía. Veja o levantamento: A defesa do Atlético-MG tem sido o calcanhar de aquiles de Gabriel Milito nesta temporada. Em 48 jogos na temporada, o Galo levou 48 gols, média de 1,12 gol sofrido/jogo. O principal ponto fraco da defesa, de acordo com gols analisados, são os segundos tempos de jogo. Mais da metade dos gols que o Atlético-MG sofreu foram nos 45 minutos finais de partida - 53,70%. Dentro do recorte de segundos tempos, o Galo sofre 38,89% dos gols a partir do minuto 16 da etapa final. A bola aérea também é um fator a ser explorado pelo São Paulo na Arena MRV nesta quinta-feira. O Galo tem se mostrado bastante vulnerável no jogo pelo alto nesta temporada, com 35,19% dos gols sendo levados em cruzamentos, levantamentos e escanteios na área. E por falar em aérea, a zona central da defesa atleticana pode ser um caminho a ser considerado pelo São Paulo. Dos 54 gols que o Atlético-MG levou em 2024, metade foram em finalizações no meio da área, onde os zagueiros parecem ter dificuldade de neutralizar. Atlético-MG e São Paulo medem forças nesta quinta-feira por uma vaga na semifinal da Copa do Brasil. O Galo tem a vantagem de jogar por um empate, já que venceu o jogo de ida por 1 a 0 no MorumBIS, enquanto o tricolor paulista precisa de uma vitória simples para levar o jogo para os pênaltis, e um vitória por, no mínimo, dois gols de diferença para se classificar de forma direta. O vencedor do confronto enfrenta o Vasco na semifinal."
O Globo,"Advogada tributarista, jornalista, empresária... Confira as profissões escolhidas pelas ex-Paquitas da Xuxa que sumiram da TV",{'https://oglobo.globo.com/play/noticia/2024/09/12/advogada-tributarista-jornalista-empresaria-confira-as-profissoes-escolhidas-pelas-ex-paquitas-da-xuxa-que-sumiram-da-tv.ghtml'}," Para algumas ex-Paquitas, o trabalho como assistente de palco de Xuxa foi apenas o primeiro passo de uma longa carreira artística. Nomes como Letícia Spiller, Monique Alfradique e Bianca Rinaldi, por exemplo, seguiram como atrizes, com projetos na TV, no cinema e no teatro.   Outras, no entanto, acabaram enveredando por caminhos totalmente diferentes após a experiência na televisão. Confira, na galeria abaixo, as profissões que as ex-Paquitas da Xuxa seguiram: Confira na galeria abaixo as profissões que as ex-Paquitas escolheram seguir: No Twitter: @colunaplay No Instagram: @colunaplay No Facebook: Coluna Play"
